,Country,Code,year,suicides_no,population,total suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Region,2020 Rank,2020 Score,Location
68,Paraguay,PRY,2014,379.0,5877594.0,6.45,"30,881,166,852",5254,Latin America and Caribbean,67.0,5.6921000479999995,"[-23.0, -58.0]"
69,Philippines,PHL,2011,2449.0,84201767.0,2.91,"224,143,083,707",2662,Southeast Asia,52.0,6.006000042,"[13.0, 122.0]"
70,Poland,POL,2015,5420.0,36086575.0,15.02,"477,355,617,456",13228,Central and Eastern Europe,43.0,6.1862998010000005,"[52.0, 20.0]"
71,Portugal,PRT,2014,1222.0,9944433.0,12.29,"229,629,822,122",23091,Western Europe,59.0,5.9109001160000005,"[39.5, -8.0]"
74,Romania,ROU,2016,1953.0,16644905.0,11.73,"187,805,922,349",10020,Central and Eastern Europe,47.0,6.123700142000001,"[46.0, 25.0]"
75,Russian Federation,RUS,2015,25432.0,137018943.0,18.56,"1,368,400,705,491",9987,Commonwealth of Independent States,73.0,5.546000004,"[60.0, 100.0]"
80,Serbia,SRB,2015,1062.0,6766406.0,15.7,"37,160,332,465",5492,Central and Eastern Europe,64.0,5.77820015,"[44.0, 21.0]"
82,Singapore,SGP,2015,329.0,3719115.0,8.85,"304,097,759,674",81766,Southeast Asia,31.0,6.377099991000001,"[1.36666666, 103.8]"
83,Slovakia,SVK,2014,554.0,5129686.0,10.8,"100,948,236,941",19679,Central and Eastern Europe,37.0,6.280600071,"[48.66666666, 19.5]"
84,Slovenia,SVN,2015,422.0,1954632.0,21.59,"43,072,415,017",22036,Central and Eastern Europe,33.0,6.363399982000001,"[46.11666666, 14.81666666]"
85,South Africa,ZAF,2015,482.0,49627460.0,0.97,"317,741,039,198",6403,Sub-Saharan Africa,109.0,4.814099789,"[-29.0, 24.0]"
86,Spain,ESP,2015,3604.0,44186528.0,8.16,"1,197,789,902,774",27108,Western Europe,28.0,6.4008998870000005,"[40.0, -4.0]"
87,Sri Lanka,LKA,2006,4015.0,17891558.0,22.44,"28,267,410,543",1580,South Asia,130.0,4.327000141,"[7.0, 81.0]"
89,Sweden,SWE,2016,1130.0,8125852.0,13.91,"514,459,972,806",55594,Western Europe,7.0,7.353499889,"[62.0, 15.0]"
90,Switzerland,CHE,2015,1073.0,7892502.0,13.6,"679,289,166,858",86068,Western Europe,3.0,7.559899807000001,"[47.0, 8.0]"
91,Thailand,THA,2016,4117.0,53442001.0,7.7,"411,755,164,833",6713,Southeast Asia,54.0,5.9987998010000005,"[15.0, 100.0]"
92,Trinidad and Tobago,TTO,2011,139.0,1237186.0,11.24,"25,433,011,405",20557,Latin America and Caribbean,42.0,6.1918997760000005,"[11.0, -61.0]"
93,Turkey,TUR,2015,1532.0,71880464.0,2.13,"859,796,872,794",11961,Middle East and North Africa,93.0,5.131800175,"[39.0, 35.0]"
94,Turkmenistan,TKM,2015,133.0,4886514.0,2.72,"35,799,628,571",7326,Commonwealth of Independent States,95.0,5.119100093999999,"[40.0, 60.0]"
95,Ukraine,UKR,2015,7574.0,40345446.0,18.77,"91,030,959,455",2256,Commonwealth of Independent States,123.0,4.56069994,"[49.0, 32.0]"
96,United Arab Emirates,ARE,2010,111.0,7839736.0,1.42,"289,787,338,325",36964,Middle East and North Africa,21.0,6.790800095,"[24.0, 54.0]"
97,United Kingdom of Great Britain and Northern Ireland,GBR,2015,4910.0,61082942.0,8.04,"2,885,570,309,161",47240,Western Europe,13.0,7.164500237,"[54.0, -2.0]"
98,United States of America,USA,2015,44189.0,300078511.0,14.73,"18,120,714,000,000",60387,North America and ANZ,18.0,6.939599991000001,"[38.0, -97.0]"
99,Uruguay,URY,2015,630.0,3190795.0,19.74,"53,274,304,222",16696,Latin America and Caribbean,26.0,6.440100192999999,"[-33.0, -56.0]"
100,Uzbekistan,UZB,2014,2095.0,27313507.0,7.67,"63,067,077,179",2309,Commonwealth of Independent States,38.0,6.257599831,"[41.0, 64.0]"
